epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4325.2,0.45353,0.27914,0.78647,0.98681,0.99747,0.99472,0.81145,0.77084,0.37371,0.86059,0.000581,0.000581,0.000581
45,4423.41,0.4628,0.27913,0.78703,0.99889,0.99768,0.995,0.82652,0.73243,0.37174,0.85771,0.000548,0.000548,0.000548
46,4521.55,0.45297,0.27256,0.78778,0.99536,0.99889,0.99494,0.81991,0.75822,0.36161,0.86138,0.000515,0.000515,0.000515
47,4618.81,0.43721,0.26747,0.78541,0.99851,0.99889,0.995,0.82066,0.75473,0.35844,0.85806,0.000482,0.000482,0.000482
48,4716.23,0.4424,0.26631,0.79194,0.99443,0.99171,0.99484,0.81105,0.78578,0.38085,0.86131,0.000449,0.000449,0.000449
49,4812.4,0.44718,0.26801,0.78693,1,0.99871,0.995,0.81298,0.76856,0.35472,0.86531,0.000416,0.000416,0.000416
50,4904.99,0.43374,0.26519,0.78651,0.99557,0.99882,0.995,0.82504,0.75006,0.35233,0.8578,0.000383,0.000383,0.000383
51,5001.22,0.43436,0.26405,0.7858,0.99667,0.99642,0.99493,0.82166,0.75684,0.36361,0.86157,0.00035,0.00035,0.00035
52,5093.1,0.42565,0.25785,0.77802,0.99875,0.99556,0.99498,0.81855,0.75282,0.3485,0.85827,0.000317,0.000317,0.000317
53,5186.78,0.42169,0.25159,0.78878,0.99557,0.99904,0.995,0.81271,0.7641,0.34726,0.85993,0.000284,0.000284,0.000284
54,5282.06,0.42269,0.25193,0.79056,0.99874,0.99778,0.995,0.82369,0.74354,0.34156,0.85366,0.000251,0.000251,0.000251
55,5376.92,0.41548,0.25015,0.78675,0.99889,0.99953,0.995,0.81868,0.7459,0.34096,0.85925,0.000218,0.000218,0.000218
56,5472.5,0.39458,0.23806,0.77698,0.99738,0.99889,0.99499,0.82572,0.73763,0.33617,0.85432,0.000185,0.000185,0.000185
57,5570.36,0.40191,0.23733,0.78317,0.99752,0.99889,0.995,0.82117,0.75385,0.34424,0.85751,0.000152,0.000152,0.000152
58,5666.68,0.39058,0.23151,0.78219,0.99778,0.9973,0.99497,0.82179,0.74333,0.34553,0.85603,0.000119,0.000119,0.000119
59,5762.06,0.39668,0.23386,0.77846,0.99762,0.99778,0.99498,0.82277,0.73719,0.34223,0.85483,8.6e-05,8.6e-05,8.6e-05
60,5856.85,0.38821,0.23295,0.78117,0.9973,0.99778,0.99497,0.82435,0.73321,0.34287,0.85392,5.3e-05,5.3e-05,5.3e-05
